ROI_name	hemisphere	structure	label	AreaDescription	region	network	network_ID
Thal_Lateral_Posterior_R	R	subcortex	Thal-LP	Thal Lateral Posterior	Thalamus	Subcortical	99.0
Thal_Limitans_Suprageniculate_R	R	subcortex	Thal-LiSg	Thal Limitans Suprageniculate	Thalamus	Subcortical	99.0
Thal_Mediodorsolateral_parvocellular_R	R	subcortex	Thal-MDl	Thal Mediodorsolateral parvocellular	Thalamus	Subcortical	99.0
Thal_Mediodorsomedial_magnocellular_R	R	subcortex	Thal-MDm	Thal Mediodorsomedial magnocellular	Thalamus	Subcortical	99.0
Thal_Medial_Geniculate_R	R	subcortex	Thal-MGN	Thal Medial Geniculate	Thalamus	Subcortical	99.0
Thal_Reuniens_R	R	subcortex	Thal-Re	Thal Reuniens	Thalamus	Subcortical	99.0
Thal_Parafascicular_R	R	subcortex	Thal-Pf	Thal Parafascicular	Thalamus	Subcortical	99.0
Thal_Pulvinar_anterior_R	R	subcortex	Thal-PuA	Thal Pulvinar anterior	Thalamus	Subcortical	99.0
Thal_Pulvinar_inferior_R	R	subcortex	Thal-PuI	Thal Pulvinar inferior	Thalamus	Subcortical	99.0
Thal_Pulvinar_lateral_R	R	subcortex	Thal-PuL	Thal Pulvinar lateral	Thalamus	Subcortical	99.0
Thal_Pulvinar_medial_R	R	subcortex	Thal-PuM	Thal Pulvinar medial	Thalamus	Subcortical	99.0
Thal_Ventral_Anterior_R	R	subcortex	Thal-VA	Thal Ventral Anterior	Thalamus	Subcortical	99.0
Thal_Ventral_Lateral_Anterior_R	R	subcortex	Thal-VLa	Thal Ventral Lateral Anterior	Thalamus	Subcortical	99.0
Thal_Ventral_Lateral_Posterior_R	R	subcortex	Thal-VLp	Thal Ventral Lateral Posterior	Thalamus	Subcortical	99.0
Thal_Ventral_posterolateral_R	R	subcortex	Thal-VPL	Thal Ventral posterolateral	Thalamus	Subcortical	99.0
Putamen_R	R	subcortex	Put	Putamen	Basal_Ganglia	Subcortical	99.0
Caudate_R	R	subcortex	Cau	Caudate	Basal_Ganglia	Subcortical	99.0
Nucleus_Accumbens_R	R	subcortex	NAcc	Nucleus Accumbens	Basal_Ganglia	Subcortical	99.0
Globus_pallidus_externalis_R	R	subcortex	GPe	Globus pallidus externalis	Basal_Ganglia	Subcortical	99.0
Globus_pallidus_internalis_R	R	subcortex	GPi	Globus pallidus internalis	Basal_Ganglia	Subcortical	99.0
Amygdala_R	R	subcortex	Amy	Amygdala	Amygdala	Subcortical	99.0
Substantia_nigra_pars_compacta_R	R	subcortex	SNc	Substantia nigra pars compacta	Midbrain	Subcortical	99.0
Substantia_nigra_pars_reticulata_R	R	subcortex	SNr	Substantia nigra pars reticulata	Midbrain	Subcortical	99.0
Ventral_tegmenta_area_R	R	subcortex	VTA	Ventral tegmenta area	Midbrain	Subcortical	99.0
Mammillary_bodies_R	R	subcortex	MamBod	Mammillary bodies	Subcortical_Limbic	Subcortical	99.0
Septal_nucleus_R	R	subcortex	Sep	Septal nucleus	Subcortical_Limbic	Subcortical	99.0
Nuclei_basal_R	R	subcortex	BasNuc	Nuclei basal	Subcortical_Limbic	Subcortical	99.0
