roi_name	lesion_only_score	multilayer_behaviour_score	predicted	residual	residual_z
SalVenAttnB_PFCl_3_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
SalVenAttnB_PFCmp_1_L	651.353689	1029736.264619	3453373.708137	-2423637.443518	-0.682205
SalVenAttnB_SPL_1_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
SalVenAttnB_Temp_1_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DorsAttnA_IPL_1_L	679.099427	8515487.503171	3512950.204551	5002537.29862	1.408114
DorsAttnA_IPL_2_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
DorsAttnA_IPS_1_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
DorsAttnA_IPS_2_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
DorsAttnA_IPS_3_L	689.205819	1428327.355611	3534650.958257	-2106323.602646	-0.592888
DorsAttnA_IPS_4_L	679.099427	522380.34539	3512950.204551	-2990569.859161	-0.841786
DorsAttnA_PFCd_1_L	679.099427	2403256.148591	3512950.204551	-1109694.05596	-0.312357
DorsAttnA_PrCd_1_L	679.099427	2403256.148591	3512950.204551	-1109694.05596	-0.312357
DorsAttnA_PrCv_1_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
DorsAttnA_SPL_1_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
DorsAttnA_SPL_2_L	689.205819	1428327.355611	3534650.958257	-2106323.602646	-0.592888
DorsAttnA_TempOcc_1_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DorsAttnA_TempOcc_2_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DorsAttnA_TempOcc_3_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
DorsAttnA_TempPole_1_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
DorsAttnA_TempPole_2_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
DorsAttnB_FrMed_1_L	679.099427	2403256.148591	3512950.204551	-1109694.05596	-0.312357
DorsAttnB_ParOper_1_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
DorsAttnB_PostC_1_L	679.099427	8515487.503171	3512950.204551	5002537.29862	1.408114
DorsAttnB_PostC_2_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
DorsAttnB_PostC_3_L	527.357266	1428327.355611	3187124.799918	-1758797.444307	-0.495066
DorsAttnB_PrCd_1_L	679.099427	2403256.148591	3512950.204551	-1109694.05596	-0.312357
DorsAttnB_PrCd_2_L	679.099427	2403256.148591	3512950.204551	-1109694.05596	-0.312357
DorsAttnB_PrCv_1_L	679.099427	748495.284575	3512950.204551	-2764454.919976	-0.778139
DorsAttnB_SPL_1_L	679.099427	8515487.503171	3512950.204551	5002537.29862	1.408114
DorsAttnB_SPL_2_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
DorsAttnB_SPL_3_L	689.205819	1428327.355611	3534650.958257	-2106323.602646	-0.592888
DorsAttnB_SPL_4_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
Aud_Ins_1_L	1587.416802	1428327.355611	5463317.026099	-4034989.670488	-1.135769
Aud_ParOcc_1_L	527.357266	1428327.355611	3187124.799918	-1758797.444307	-0.495066
Aud_ST_1_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
Aud_ST_2_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
Aud_ST_3_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
Aud_ST_4_L	527.357266	1428327.355611	3187124.799918	-1758797.444307	-0.495066
Aud_ST_5_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
Aud_ST_6_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
Aud_ST_7_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
Aud_TempPole_1_L	679.099427	522380.34539	3512950.204551	-2990569.859161	-0.841786
SomMotA_ParOper_1_L	527.357266	1428327.355611	3187124.799918	-1758797.444307	-0.495066
SomMotA_1_L	1004.944502	2403256.148591	4212614.705898	-1809358.557307	-0.509298
SomMotA_2_L	679.099427	2403256.148591	3512950.204551	-1109694.05596	-0.312357
SomMotA_3_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
SomMotA_4_L	527.357266	2774243.592502	3187124.799918	-412881.207416	-0.116218
SomMotA_5_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
SomMotA_6_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
SomMotA_7_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
SomMotA_8_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
SomMotA_9_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
SomMotA_10_L	1004.944502	2403256.148591	4212614.705898	-1809358.557307	-0.509298
SomMotA_11_L	1004.944502	2403256.148591	4212614.705898	-1809358.557307	-0.509298
SomMotA_12_L	679.099427	2403256.148591	3512950.204551	-1109694.05596	-0.312357
SomMotB_Ins_1_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
SomMotB_ParOper_1_L	1004.944502	1428327.355611	4212614.705898	-2784287.350287	-0.783721
SomMotB_ParOper_2_L	689.205819	1428327.355611	3534650.958257	-2106323.602646	-0.592888
SomMotB_1_L	1004.944502	2403256.148591	4212614.705898	-1809358.557307	-0.509298
SomMotB_2_L	1004.944502	2403256.148591	4212614.705898	-1809358.557307	-0.509298
SomMotB_3_L	679.099427	2403256.148591	3512950.204551	-1109694.05596	-0.312357
SomMotB_4_L	679.099427	748495.284575	3512950.204551	-2764454.919976	-0.778139
SomMotB_5_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
SomMotB_6_L	679.099427	522380.34539	3512950.204551	-2990569.859161	-0.841786
SomMotB_7_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
SomMotB_8_L	679.099427	8515487.503171	3512950.204551	5002537.29862	1.408114
SomMotB_9_L	1587.416802	748495.284575	5463317.026099	-4714821.741524	-1.327128
VisualA_ExStr_1_L	689.205819	1428327.355611	3534650.958257	-2106323.602646	-0.592888
VisualA_ExStr_2_L	689.205819	1428327.355611	3534650.958257	-2106323.602646	-0.592888
VisualA_ExStr_3_L	689.205819	1999058.406363	3534650.958257	-1535592.551894	-0.432239
VisualA_ExStr_4_L	651.353689	522380.34539	3453373.708137	-2930993.362747	-0.825016
VisualA_ExStr_5_L	527.357266	522380.34539	3187124.799918	-2664744.454528	-0.750072
VisualA_ExStr_6_L	679.099427	1428327.355611	3512950.204551	-2084622.84894	-0.58678
