roi_index	roi_name	slope	intercept	population_residual	r_squared
315	DorsAttnA_PrCv_1_R	-0.244758	0.113052	0.158461	0.098121
316	DorsAttnA_SPL_1_R	-0.187033	0.100194	0.163596	0.038723
317	DorsAttnA_SPL_2_R	-0.248353	0.101487	0.163158	0.043862
318	DorsAttnA_SPL_3_R	-0.207198	0.102364	0.162075	0.056514
319	DorsAttnA_SPL_4_R	-0.273059	0.100476	0.162394	0.052793
320	DorsAttnA_TempOcc_1_R	-0.295253	0.117912	0.157438	0.109728
321	DorsAttnA_TempOcc_2_R	-0.254586	0.112839	0.15868	0.09563
322	DorsAttnA_TempPole_1_R	-0.41173	0.091916	0.16356	0.03914
323	DorsAttnB_IPL_1_R	-0.407046	0.100159	0.161471	0.063533
324	DorsAttnB_IPL_2_R	-0.522121	0.099557	0.161612	0.061901
325	DorsAttnB_PostC_1_R	-0.459416	0.100808	0.161317	0.065313
326	DorsAttnB_PostC_2_R	-0.344589	0.104387	0.160525	0.074472
327	DorsAttnB_PostC_3_R	-0.293444	0.106568	0.160037	0.080092
328	DorsAttnB_PrCd_1_R	-0.220795	0.109362	0.161189	0.066802
329	DorsAttnB_PrCd_2_R	-0.343046	0.107436	0.161265	0.065925
330	DorsAttnB_PrCd_3_R	-0.190996	0.106074	0.162812	0.047914
331	DorsAttnB_PrCv_1_R	-0.278768	0.11153	0.158918	0.092911
332	DorsAttnB_SPL_1_R	-0.262279	0.104255	0.161437	0.063922
333	DorsAttnB_SPL_2_R	-0.188134	0.106189	0.161215	0.066496
334	DorsAttnB_SPL_3_R	-0.279023	0.098471	0.163887	0.035297
335	Aud_Ins_1_R	-0.150786	0.112891	0.158617	0.09635
336	Aud_ParOcc_1_R	-0.355103	0.110854	0.158974	0.092269
337	Aud_ParOper_1_R	-0.292246	0.11232	0.158763	0.094675
338	Aud_ST_1_R	-0.273067	0.106896	0.159916	0.081488
339	Aud_ST_2_R	-0.288426	0.103999	0.160647	0.073065
340	Aud_ST_3_R	-0.406247	0.102521	0.161077	0.068103
341	Aud_ST_4_R	-0.31422	0.107934	0.15966	0.084419
342	Aud_ST_5_R	-0.23828	0.104267	0.160641	0.073136
343	Aud_Temp_1_R	-0.457873	0.110511	0.159061	0.091281
344	SomMotA_ParOper_1_R	-0.551627	0.102189	0.160984	0.069169
345	SomMotA_1_R	-0.251128	0.107409	0.162144	0.055714
346	SomMotA_2_R	-0.259499	0.11205	0.159732	0.083597
347	SomMotA_3_R	-0.402551	0.107238	0.1598	0.082815
348	SomMotA_4_R	-0.555039	0.101879	0.161072	0.068151
349	SomMotA_5_R	-0.32889	0.100702	0.163631	0.038313
