roi_name	lesion_only_score	multilayer_behaviour_score	predicted	residual	residual_z
SomMotA_4_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
SomMotA_5_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
SomMotA_6_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SomMotA_7_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SomMotA_8_L	1130.581804	0.0	141080.591121	-141080.591121	-1.596019
SomMotA_9_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SomMotA_10_L	1130.581804	77850.945006	141080.591121	-63229.646115	-0.715305
SomMotA_11_L	1130.581804	77850.945006	141080.591121	-63229.646115	-0.715305
SomMotA_12_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
SomMotB_Ins_1_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SomMotB_ParOper_1_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SomMotB_ParOper_2_L	305.978228	66878.704307	34886.606107	31992.0982	0.361921
SomMotB_1_L	1130.581804	77850.945006	141080.591121	-63229.646115	-0.715305
SomMotB_2_L	667.434661	77850.945006	81435.639056	-3584.69405	-0.040553
SomMotB_3_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
SomMotB_4_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
SomMotB_5_L	667.434661	54247.411	81435.639056	-27188.228056	-0.307575
SomMotB_6_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
SomMotB_7_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
SomMotB_8_L	507.847444	66878.704307	60883.69989	5995.004417	0.06782
SomMotB_9_L	1681.5	54247.411	212028.862936	-157781.451936	-1.784953
VisualA_ExStr_1_L	667.434661	66878.704307	81435.639056	-14556.934749	-0.16468
VisualA_ExStr_2_L	305.978228	66878.704307	34886.606107	31992.0982	0.361921
VisualA_ExStr_3_L	305.978228	66878.704307	34886.606107	31992.0982	0.361921
VisualA_ExStr_4_L	305.978228	185065.399941	34886.606107	150178.793834	1.698945
VisualA_ExStr_5_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
VisualA_ExStr_6_L	305.978228	66878.704307	34886.606107	31992.0982	0.361921
VisualA_ExStr_7_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
VisualA_ExStr_8_L	507.847444	66878.704307	60883.69989	5995.004417	0.06782
VisualA_ExStr_9_L	305.978228	54247.411	34886.606107	19360.804893	0.219025
VisualA_ExStr_10_L	305.978228	66878.704307	34886.606107	31992.0982	0.361921
VisualA_ExStr_11_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
VisualA_PrC_1_L	1130.581804	54247.411	141080.591121	-86833.180121	-0.982328
VisualA_SPL_1_L	686.117351	66878.704307	83841.630686	-16962.926379	-0.191898
VisualB_ExStrInf_1_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
VisualB_ExStrInf_2_L	305.978228	0.0	34886.606107	-34886.606107	-0.394666
VisualB_ExStrInf_3_L	507.847444	54247.411	60883.69989	-6636.28889	-0.075075
VisualB_ExStrInf_4_L	305.978228	0.0	34886.606107	-34886.606107	-0.394666
VisualB_ExStrSup_1_L	305.978228	66878.704307	34886.606107	31992.0982	0.361921
VisualB_ExStrSup_2_L	305.978228	66878.704307	34886.606107	31992.0982	0.361921
VisualB_ExStrSup_3_L	305.978228	66878.704307	34886.606107	31992.0982	0.361921
VisualB_ExStrSup_4_L	686.117351	111398.875327	83841.630686	27557.244641	0.31175
VisualB_ExStrSup_5_L	305.978228	77850.945006	34886.606107	42964.338899	0.486048
VisualB_Striate_1_L	305.978228	66878.704307	34886.606107	31992.0982	0.361921
VisualB_Striate_2_L	305.978228	0.0	34886.606107	-34886.606107	-0.394666
VisualB_Striate_3_L	305.978228	66878.704307	34886.606107	31992.0982	0.361921
VisualC_ExStr_1_L	305.978228	66878.704307	34886.606107	31992.0982	0.361921
VisualC_ExStr_2_L	507.847444	66878.704307	60883.69989	5995.004417	0.06782
VisualC_ExStr_3_L	507.847444	0.0	60883.69989	-60883.69989	-0.688766
VisualC_Striate_1_L	305.978228	66878.704307	34886.606107	31992.0982	0.361921
DefaultA_IPL_1_R	686.117351	187210.944624	83841.630686	103369.313938	1.169398
DefaultA_PCC_1_R	641.873847	32394.781919	78143.869801	-45749.087882	-0.517551
DefaultA_PFCd_1_R	2369.333333	396609.29565	300609.321209	95999.974441	1.08603
DefaultA_PFCm_1_R	2123.997392	205591.144471	269014.501589	-63423.357118	-0.717497
DefaultA_PFCm_2_R	2123.997392	205591.144471	269014.501589	-63423.357118	-0.717497
