roi_name	Foreperiod_Long_tau_p_raw	Foreperiod_Long_tau_p_fdr	GoNoGo_tau_p_raw	GoNoGo_tau_p_fdr	SATO_Accuracy_tau_p_raw	SATO_Accuracy_tau_p_fdr
VisualA_ExStr_8_L	0.485149	0.743336	0.366337	0.825965	0.089109	0.375195
VisualA_ExStr_8_R	0.425743	0.743336	0.207921	0.803157	0.039604	0.282885
VisualA_ExStr_9_L	0.50495	0.743336	0.425743	0.854203	0.693069	0.954918
VisualA_ExStr_9_R	0.415842	0.743336	0.118812	0.803157	0.158416	0.640064
VisualA_PrC_1_L	0.683168	0.750932	0.950495	0.99258	0.990099	0.990099
VisualA_PrC_1_R	0.148515	0.743336	0.059406	0.803157	0.29703	0.948264
VisualA_SPL_1_L	0.118812	0.743336	0.39604	0.833768	0.009901	0.282885
VisualA_SPL_1_R	0.346535	0.743336	0.247525	0.803157	0.029703	0.282885
VisualA_SPL_2_R	0.346535	0.743336	0.257426	0.803157	0.049505	0.291206
VisualB_ExStrInf_1_L	0.455446	0.743336	0.663366	0.92766	0.079208	0.344382
VisualB_ExStrInf_1_R	0.445545	0.743336	0.178218	0.803157	0.237624	0.826517
VisualB_ExStrInf_2_L	0.435644	0.743336	0.762376	0.92766	0.049505	0.291206
VisualB_ExStrInf_2_R	0.425743	0.743336	0.138614	0.803157	0.207921	0.792079
VisualB_ExStrInf_3_L	0.128713	0.743336	0.376238	0.825965	0.564356	0.954918
VisualB_ExStrInf_3_R	0.366337	0.743336	0.356436	0.824129	0.306931	0.948264
VisualB_ExStrInf_4_L	0.138614	0.743336	0.653465	0.92766	0.574257	0.954918
VisualB_ExStrInf_4_R	0.336634	0.743336	0.425743	0.854203	0.326733	0.948264
VisualB_ExStrSup_1_L	0.405941	0.743336	0.257426	0.803157	0.405941	0.954918
VisualB_ExStrSup_1_R	0.405941	0.743336	0.178218	0.803157	0.009901	0.282885
VisualB_ExStrSup_2_L	0.534653	0.743336	0.376238	0.825965	0.732673	0.954918
VisualB_ExStrSup_2_R	0.465347	0.743336	0.178218	0.803157	0.019802	0.282885
VisualB_ExStrSup_3_L	0.39604	0.743336	0.366337	0.825965	0.663366	0.954918
VisualB_ExStrSup_3_R	0.39604	0.743336	0.455446	0.871666	0.247525	0.839067
VisualB_ExStrSup_4_L	0.287129	0.743336	0.178218	0.803157	0.524752	0.954918
VisualB_ExStrSup_4_R	0.445545	0.743336	0.188119	0.803157	0.742574	0.954918
VisualB_ExStrSup_5_L	0.386139	0.743336	0.277228	0.803157	0.415842	0.954918
VisualB_ExStrSup_5_R	0.425743	0.743336	0.168317	0.803157	0.019802	0.282885
VisualB_SPL_1_R	0.485149	0.743336	0.207921	0.803157	0.871287	0.954918
VisualB_Striate_1_L	0.50495	0.743336	0.356436	0.824129	0.643564	0.954918
VisualB_Striate_1_R	0.475248	0.743336	0.148515	0.803157	0.237624	0.826517
VisualB_Striate_2_L	0.09901	0.743336	0.712871	0.92766	0.39604	0.954312
VisualB_Striate_2_R	0.435644	0.743336	0.148515	0.803157	0.178218	0.712871
