x	y	location
0.388756	0.921341	Frontal_R
0.404687	0.914455	Frontal_R
0.420496	0.907294	Frontal_R
0.436179	0.899860	Frontal_R
0.451730	0.892155	Frontal_R
0.467145	0.884180	Frontal_R
0.482420	0.875940	Frontal_R
0.497549	0.867436	Frontal_R
0.512529	0.858670	Frontal_R
0.527354	0.849646	Frontal_R
0.542020	0.840366	Frontal_R
0.556522	0.830833	Frontal_R
0.666154	0.745814	Orbitofrontal_R
0.570858	0.821049	Frontal_R
0.678998	0.734140	Orbitofrontal_R
0.691636	0.722246	Orbitofrontal_R
0.896084	0.443884	Cingulate_R
0.585021	0.811018	Frontal_R
0.959275	-0.282472	Parietal_R
0.599008	0.800743	Frontal_R
0.612815	0.790227	Frontal_R
0.626437	0.779472	Frontal_R
0.639870	0.768483	Frontal_R
0.959275	0.282472	Insula_R
0.964033	0.265782	Insula_R
0.968501	0.249011	Insula_R
0.835684	-0.549210	Temporal_R
0.826027	-0.563631	Temporal_R
0.954229	-0.299078	Parietal_R
0.972676	0.232165	Insula_R
0.816121	-0.577881	Temporal_R
0.976559	0.215250	Insula_R
0.980148	0.198269	Insula_R
0.983441	0.181229	Insula_R
0.986438	0.164134	Insula_R
0.989138	0.146990	Insula_R
0.991540	0.129801	Insula_R
0.993643	0.112573	Insula_R
0.995447	0.095312	Insula_R
0.948894	-0.315594	Parietal_R
0.943274	-0.332014	Parietal_R
0.805969	-0.591958	Temporal_R
0.795574	-0.605857	Temporal_R
0.784940	-0.619572	Temporal_R
0.903653	0.428266	Cingulate_R
0.774069	-0.633102	Temporal_R
0.762965	-0.646440	Temporal_R
0.751631	-0.659584	Temporal_R
0.740071	-0.672529	Temporal_R
0.728287	-0.685272	Temporal_R
0.716285	-0.697808	Temporal_R
0.704067	-0.710134	Temporal_R
0.691636	-0.722246	Temporal_R
0.678998	-0.734140	Temporal_R
0.666154	-0.745814	Temporal_R
0.653111	-0.757263	Temporal_R
0.639870	-0.768483	Temporal_R
0.626437	-0.779472	Temporal_R
0.612815	-0.790227	Temporal_R
0.599008	-0.800743	Temporal_R
0.585021	-0.811018	Temporal_R
0.172784	-0.984960	Occipital_R
0.570858	-0.821049	Temporal_R
0.556522	-0.830833	Temporal_R
0.542020	-0.840366	Temporal_R
0.910949	0.412518	Cingulate_R
0.937370	-0.348334	Parietal_R
0.931184	-0.364550	Parietal_R
0.924717	-0.380656	Parietal_R
0.917971	-0.396647	Parietal_R
0.910949	-0.412518	Parietal_R
0.903653	-0.428266	Parietal_R
0.896084	-0.443884	Parietal_R
0.888246	-0.459369	Parietal_R
0.880140	-0.474715	Parietal_R
0.155664	-0.987810	Occipital_R
0.138497	-0.990363	Occipital_R
0.121289	-0.992617	Occipital_R
0.527354	-0.849646	Temporal_R
0.104044	-0.994573	Occipital_R
0.086767	-0.996229	Occipital_R
0.069465	-0.997584	Occipital_R
0.052141	-0.998640	Occipital_R
0.034802	-0.999394	Occipital_R
0.917971	0.396647	Cingulate_R
0.924717	0.380656	Cingulate_R
0.017452	-0.999848	Occipital_R
0.931184	0.364550	Cingulate_R
0.937370	0.348334	Cingulate_R
0.943274	0.332014	Cingulate_R
0.996952	0.078022	Insula_R
0.998156	0.060708	Insula_R
0.999059	0.043376	Insula_R
0.704067	0.710134	Orbitofrontal_R
0.653111	0.757263	Frontal_R
0.512529	-0.858670	Temporal_R
0.497549	-0.867436	Temporal_R
0.482420	-0.875940	Temporal_R
0.467145	-0.884180	Temporal_R
0.451730	-0.892155	Temporal_R
0.436179	-0.899860	Temporal_R
0.999661	0.026031	Insula_R
0.948894	0.315594	Cingulate_R
0.954229	0.299078	Cingulate_R
