2.388038897893031276e+01,2.577212317666126751e+01,5.078995137763371304e+01
9.319701140385376448e+00,6.656075501376326997e+01,8.741643727880443748e-01
7.270989907665878604e+00,5.399763796435473751e+01,1.293321881039295818e+01
5.399138415433597515e+00,4.044090653680464698e+01,-1.036242742086533042e+01
4.631748589846893083e+00,2.213900080580177132e+01,-2.058863819500403025e+01
2.243339100346020132e+01,-1.778806228373701970e+01,-2.676513840830450164e+01
6.046832770270270885e+01,-7.586782094594596515e+00,-2.303969594594594383e+01
5.480029648454043922e+01,-3.945150360016938862e+00,-1.415247776365946919e+01
3.926500265533724132e+01,-1.469490175252256847e+01,-3.133191715347849282e+01
3.646487341772152035e+01,1.641740506329114169e+01,-3.727943037974683449e+01
2.879983922829582355e+01,1.172775991425510256e+01,-3.009539121114683979e+01
4.834645669291333547e+00,-6.342734430923407274e+01,3.118682891911238642e+01
9.368360277136261516e+00,6.275481139337952641e+01,-1.433102386451115962e+01
5.596250000000000568e+01,-4.527228260869564735e+01,3.237880434782609029e+01
1.379624516841523985e+01,3.923799006073991791e+01,5.214411927112092826e+01
1.648213678121810233e+01,5.254712487240558971e+01,3.592582511058182604e+01
1.726810912511759000e+01,6.503951081843837301e+01,1.615020382565067791e+01
6.144321443214437295e+00,5.751455514555146920e+01,2.949569495694956345e+01
3.466188598063821757e+01,2.292398709214771202e+01,-1.744316959483685991e+01
6.332943469785575985e+01,-3.776933073424301313e+01,1.858349577647828710e-01
6.292146596858637508e+01,-2.336163051608077978e+01,-7.403889304412871297e+00
4.910620067643742459e+01,8.651634723788049541e+00,-3.294746335963923656e+01
9.830955777460772538e+00,-5.252710413694721581e+01,3.527674750356632671e+01
4.534742755765819311e+01,-7.511088113542282940e+01,3.073181549379066269e+01
4.844592080786605948e+01,-6.394233324475153069e+01,2.170635131543980378e+01
5.486157826649417757e+01,-4.568693402328590025e+01,1.953428201811125575e+01
2.626769230769231456e+01,3.460400000000001342e+01,3.928799999999999670e+01
1.821096654275092419e+01,-3.593587360594796110e+01,-1.246189591078066883e+01
3.060620099786171977e+01,-3.067747683535282022e+01,-1.773164647184604092e+01
1.638643533123028817e+01,-6.335567823343848914e+01,2.755599369085173578e+01
1.234234234234234862e+01,-5.472136422136422595e+01,1.544465894465893996e+01
1.419334719334719352e+01,-4.665800415800416090e+01,4.049896049896048567e+00
6.991396761133600535e+00,-4.992408906882590713e+01,4.457489878542510553e+01
5.481198589894248130e+00,-6.427555816686250978e+01,4.362103407755581941e+01
4.791764705882351905e+01,3.157722152690863027e+01,-7.966207759699628355e+00
1.196953683556108672e+01,1.963786136151693995e+01,6.288218837426174446e+01
4.329722703639515657e+01,6.290294627383019588e+00,5.048180242634315107e+01
4.813960749330954059e+01,1.817885816235502716e+01,2.350446030330061831e+01
5.017586063873912394e+01,-3.303691414350892330e+01,1.456656988801327657e+00
4.897605284888521737e+01,-2.003798513625103794e+01,-7.510322047894305797e+00
4.857819905213270317e+01,-6.436018957345964964e+00,-3.936363636363636687e+01
4.745522146783059725e+01,1.618396378920141387e+01,-2.042806336889751151e+01
4.864836325237590131e+00,1.348468848996830616e+00,3.027243928194297951e+01
5.393978494623655706e+01,-3.328745519713261558e+01,5.116559139784946808e+01
4.667235772357724954e+01,-4.429430894308943323e+01,4.631788617886178372e+01
